number,meters
250001114402,8.93
250001114404,0
250001114405,5.5
250001114408,13.6
250001114410,7.88
250001114414,12.8
250001114415,6.7
250001114416,6.7
250001114417,6.7
250001114418,8.53
250001114422,13.4
250001114423,6.7
250001114425,6.7
250001114431,12.8
250001114436,6.7
250001114437,2.5
250001114438,6.4
250001114440,6.7
250001114442,12.8
250001114443,4.47
250001114446,6.8
250001114447,5.45
250001114448,13.4
250001114449,9.6
250001114450,12.8
250001114451,12.8
250001114453,12.8
250001114454,12.8
250001114455,12.8
250001114458,12.8
250001114459,12.8
250001114460,12.8
250001114461,12.8
250001114463,3.2
250001114467,6.4
250001114468,4.47
250001114470,12.8
250001114471,10
250001114473,8.93
250001114474,4.87
250001114475,8.93
250001114476,12.8
250001114477,8.93
250001114479,12.8
250001114480,9.6
250001114481,12.8
250001114482,12.88
250001114483,15.01
250001114484,6.2
250001114485,13.4
250001114486,12.8
250001114487,13.4
250001114488,10.72
250001114489,6.4
250001114490,13.6
250001114491,13.6
250001114492,11.2
250001114500,4.66
250001114501,13.4
250001114506,10.64
250001114507,6.4
250001114508,11.17
250001114509,13.3
250001114510,12.8
250001114512,10
250001114513,12.8
250001114514,12.8
250001114516,12.8
250001114517,12.8
250001114518,14.2
250001114519,7.44
250001114520,2.54
250001114521,6.4
250001114525,0
250001114530,9.6
250001114532,8
250001114533,9.8
250001114534,6.4
250001114538,3.2
250001114539,12.8
250001114540,13.4
250001114541,13.4
250001114542,13.4
250001114543,13.4
250001114548,6.1
250001114549,6.4
250001114553,13.4
250001114560,13.4
250001114561,12.8
250001114572,0.6
250001114573,13.4
250001114574,9.6
250001114575,5.3
250001114577,5.45
250001114580,6.7
250001114581,8.93
250001114587,3.77
250001114592,8.93
250001114599,0
250001114600,5.1
250001114601,3.2
250001114606,5.45
250001114607,13
250001114608,13.4
250001114609,12.8
250001114610,13.6
250001114611,13.4
250001114621,12.9
250001114623,3
250001114624,10.67
250001114625,6.5
250001114626,7.68
250001114627,3.48
250001114635,8.93
250001114636,12.8
250001114637,13.4
250001114641,13.4
250001114642,6.4
250001114643,8.32
250001114644,13.4
250001114645,4.5
250001114649,12.8
250001114651,12.8
250001114653,12.8
250001114654,12.8
250001114656,8.7
250001114657,0.5
250001114661,11.73
250001114662,8.93
250001114663,12.8
250001114664,0.5
250001114667,0.2
250001114668,6.4
250001114677,1.2
250001114680,1
250001114682,9.6
250001114683,8.31
250001114684,12.8
250001114689,8.86
250001114694,12.8
250001114697,12.8
250001114698,10
250001114699,12.8
250001114701,13.6
250001114702,13.6
250001114704,9.6
250001114705,1.25
250001114707,12.8
250001114709,2.5
250001114710,6.4
250001114711,12.8
250001114713,12.8
250001114715,12.8
250001114716,9
250001114717,1
250001114718,5.82
250001114721,4
250001114722,1.8
250001114723,5.05
250001114724,0.5
250001114725,13.4
250001114726,0.2
250001114728,7.6
250001114729,0.2
250001114733,13.4
250001114736,3
250001114737,12.8
250001114738,7
250001114739,0.2
250001114747,4.27
250001114749,6.65
250001114751,6.02
250001114752,13.3
250001114753,6.65
250001114759,5.76
250001114760,12.8
250001114761,6.7
250001114762,6.7
250001114763,6.7
250001114764,1.14
250001114765,12.8
250001114766,1
250001114769,13.4
250001114770,3.7
250001114780,13.4
250001114781,8.53
250001114785,11.5
250001114786,8.7
250001114787,12.8
250001114788,9.9
250001114789,5.7
250001114794,9.6
250001114795,12.8
250001114797,0.2
250001114798,0.73
250001114800,0.2
250001114802,10.23
250001114807,12.8
250001114823,2.43
250001114826,12.8
250001114827,7.68
250001114829,13.6
250001114830,6.7
250001114832,0.5
250001114839,4.18
250001114843,1
250001114844,5.27
250001114846,8.93
250001114847,9.68
250001114851,12.8
250001114852,3.2
250001114853,13.3
250001114854,10.05
250001114855,8.04
250001114859,5.25
250001114863,13.4
250001114870,3.37
250001114871,3.59
250001114873,3.89
250001114874,4.36
250001114875,6.7
250001114876,8.53
250001114882,8.67
250001114886,3.2
250001114887,14.7
250001114888,7
250001114889,6.7
250001114890,6.7
250001114891,7.45
250001114892,6.4
250001114893,7.4
250001114894,8
250001114895,12.8
250001114901,13.72
250001114902,3.35
250001114903,0.47
250001114904,5.25
250001114905,0.19
250001114914,3.2
250001114916,13.6
250001114917,8.2
250001114918,13.4
250001114920,3.8
250001114921,5.74
250001114925,0
250001114926,12.8
250001114930,0.6
250001114931,10.88
250001114932,12.48
250001114934,0.1
250001114936,0.2
250001114943,0.2
250001114944,13.4
250001114945,6.7
250001114946,10.72
250001114953,12.8
250001114956,2.2
250001114958,3.87
250001114959,0.4
250001114961,0.7
250001114962,1.6
250001114967,3
250001114969,0.3
250001114970,0.1
250001114971,0.5
250001114973,6
250001114977,13.4
250001114993,0.5
250001115000,10.72
250001115003,12.8
250001115004,5.3
250001115005,6.3
250001115006,10.05
250001115007,6.7
250001115010,6.7
250001115011,13.6
250001115012,13.6
250001115013,13.6
250001115014,6.5
250001115022,3.88
250001115026,6.7
250001115027,6.7
250001115037,6.7
250001115038,9.65
250001115039,6.4
250001115040,6.7
250001115041,8.96
250001115045,13.4
250001115046,13.4
250001115060,5.38
250001115061,1
250001115063,12.8
250001115064,6.4
250001115065,5.36
250001115067,6.7
250001115068,13.4
250001115069,6.4
250001115076,13.4
250001115079,6.65
250001115089,13.4
250001115090,13.4
250001115091,12.8
250001115092,12.8
250001115093,6.41
250001115094,12.8
250001115095,11.2
250001115097,6.7
250001115098,3.2
250001115099,12.8
250001115100,6.7
250001115101,8.5
250001115102,6.4
250001115108,0
250001115109,8
250001115110,4.5
250001115116,12.8
250001115117,12.8
250001115118,6.7
250001115119,1.2
250001115123,6.54
250001115124,12.8
250001115129,13.4
250001115130,13.4
250001115137,12.8
250001115138,12.8
250001115144,0
250001115147,6.4
250001115148,13.4
250001115149,6.4
250001115150,6.7
250001115151,13.4
250001115155,13.4
250001115156,4.47
250001115157,12.8
250001115159,10.96
250001115160,12.8
250001115162,6.7
250001115164,12.8
250001115166,6.4
250001115167,13.4
250001115170,0
250001115171,3.57
250001115172,1.5
250001115173,4
250001115175,6
250001115180,6.7
250001115181,12.8
250001115182,6.4
250001115183,4.7
250001115184,5.6
250001115190,6.4
250001115191,0.1
250001115192,13.41
250001115193,9.09
250001115194,12
250001115197,13.4
250001115198,8.93
250001115201,9.6
250001115204,0
250001115205,3.5
250001115206,6.7
250001115207,8.53
250001115210,0
250001115212,10.5
250001115214,10.67
250001115217,6.5
250001115219,4.53
250001115220,6.4
250001115224,6.4
250001115228,12.8
250001115232,8.13
250001115238,5.6
250001115239,13.4
250001115240,6
250001115242,6.12
250001115243,9.42
250001115246,7.2
250001115259,12.8
250001115269,13.4
250001115272,11.8
250001115273,6.7
250001115275,12.8
250001115276,12.8
250001115277,12.6
250001115278,6.4
250001115282,12.8
250001115285,8.5
250001115286,10
250001115287,7
250001115288,8.7
250001115289,5.06
250001115290,12.8
